Suborder,Family,Sp1,Sp2,Condition,MainTopic,Authors,Year,Article
"""Butterfly""",Papilionidae,Papilio machaon,Papilio xuthus,Laboratory,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Butterfly""",Papilionidae,Papilio machaon,Papilio zelicaon,Field,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Butterfly""",Papilionidae,Papilio macilentus,Papilio memnon,Field,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Butterfly""",Papilionidae,Papilio macilentus,Papilio xuthus,Laboratory,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Butterfly""",Papilionidae,Papilio memnon,Papilio polymnestor,Field,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Butterfly""",Papilionidae,Papilio memnon,Papilio polytes,Laboratory,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Butterfly""",Papilionidae,Papilio memnon,Papilio rumanzovia,Laboratory,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Butterfly""",Papilionidae,Papilio memnon,Papilio xuthus,Laboratory,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Butterfly""",Papilionidae,Papilio multicaudatus,Papilio rutulus,Field,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Butterfly""",Papilionidae,Papilio nephelus,Papilio polytes,Laboratory,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Butterfly""",Papilionidae,Papilio palamedes,Papilio scamander,Laboratory,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Butterfly""",Papilionidae,Papilio paris,Papilio xuthus,Laboratory,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Butterfly""",Papilionidae,Papilio polymnestor,Papilio rumanzovia,Laboratory,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Butterfly""",Papilionidae,Papilio polytes,Papilio polytes,Laboratory,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
