Suborder,Family,Sp1,Sp2,Condition,MainTopic,Authors,Year,Article
"""Butterfly""",Nymphalidae,Coenonympha arcania,Coenonympha gardetta,Field,Yes,"Capblancq, T; Despres, L; Rioux, D; Mavarez, J.",2015,Hybridization promotes speciation in Coenonympha butterflies
"""Butterfly""",Pieridae,Colias alexandra,Colias eurytheme,Laboratory,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Butterfly""",Pieridae,Colias alfacariensis,Colias hyale,Laboratory,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Butterfly""",Pieridae,Colias crocea,Colias erate,Field,Yes,"Milovanov, AE; Simchuk, AP; Ivashov, AV.",2004,"Polymorphism in syntopic populations of Colias crocea and C-erate (Lepidoptera, Pieridae) in the Crimea"
"""Butterfly""",Pieridae,Colias crocea,Colias hyale,Field,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Butterfly""",Pieridae,Colias erate,Colias eurytheme,Laboratory,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Butterfly""",Pieridae,Colias eurytheme,Colias interior,Field,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Butterfly""",Pieridae,Colias eurytheme,Colias philodice,Field,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Butterfly""",Pieridae,Colias interior,Colias philodice,Laboratory,Yes,"KAROWE, DN.",1994,"DIAPAUSE DYNAMICS AMD HOST-PLANT UTILIZATION OF COLIAS-PHILODICE, COLIAS-INTERIOR AND THEIR HYBRIDS (LEPIDOPTERA, PIERIDAE)"
"""Butterfly""",Nymphalidae,Danaus erippus,Danaus plexippus,Laboratory,Yes,"Hay-Roe, MM; Lamas, G; Nation, JL.",2007,"Pre- and postzygotic isolation and Haldane rule effects in reciprocal crosses of Danaus erippus and Danaus plexippus (Lepidoptera : Danainae), supported by differentiation of cuticular hydrocarbons, establish their status as separate species"
"""Moth""",Sphingidae,Deilephila elpenor,Deilephila porcellus,Field,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Moth""",Drepanidae,Drepana curvatula,Drepana falcataria,Laboratory,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Butterfly""",Pieridae,Enantia albania,Enantia jethys,Field,Yes,"Jasso-Martinez, JM; Machkour-M'Rabet, S; Vila, R; Rodriguez-Arnaiz, R; Castaneda-Sortibran, AN.",2018,Molecular evidence of hybridization in sympatric populations of the Enantia jethys complex (Lepidoptera: Pieridae)
"""Butterfly""",Pieridae,Enantia albania,Enantia mazai,Field,Yes,"Jasso-Martinez, JM; Machkour-M'Rabet, S; Vila, R; Rodriguez-Arnaiz, R; Castaneda-Sortibran, AN.",2018,Molecular evidence of hybridization in sympatric populations of the Enantia jethys complex (Lepidoptera: Pieridae)
"""Moth""",Geometridae,Epirrita autumnata,Epirrita dilutata,Laboratory,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Moth""",Geometridae,Epirrita autumnata,Epirrita filigrammaria,Laboratory,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
