Sp1,Sp2,Condition,Choice-Mating,Hybrid-Egg,Hybrid-Adult,One-Sex-Fertile-Hybrids,Fertile-Hybrids,Authors,Year
Ostrinia nubilalis,Ostrinia scapulalis,Field,Y,Y,Y,Y,Y,"Bourguet, D; Ponsard, S; Streiff, R; Meusnier, S; Audiot, P; Li, J; Wang, ZY.",2014
Ostrinia orientalis,Ostrinia nubilalis,Laboratory,?,Y,Y,Y,Y,"Fu, X; Tabata, J; Huang, Y; Takanashi, T; Ohno, S; Honda, H; Tatsuki, S; Ishikawa, Y.",2004
Ostrinia scapulalis,Ostrinia zealis,Laboratory,?,Y,Y,Y,Y,"Tabata, F; Ishikawa, Y.",2005
Papilio canadensis,Papilio glaucus,Field,Y,Y,Y,Y,Y,"Scriber, JM; Ording, GJ.",2005
Papilio machaon,Papilio hospiton,Laboratory,Y,Y,Y,Y,?,"Cianchi, R; Ungaro, A; Marini, M; Bullini, L.",2003
Pieris napi,Pieris macdunnoughii,Laboratory,?,Y,Y,Y,Y,"Chew, FS; Watt, WB.",2006
Pieris napi,Pieris virginiensis,Laboratory,?,Y,Y,N,N,"Chew, FS; Watt, WB.",2006
Pieris napi,Pieris marginalis,Laboratory,?,Y,Y,Y,Y,"Chew, FS; Watt, WB.",2006
Pieris napi,Pieris oleracea,Laboratory,?,Y,Y,Y,Y,"Chew, FS; Watt, WB.",2006
Pieris napi,Pieris microstriata,Laboratory,?,Y,Y,Y,N,"Chew, FS; Watt, WB.",2006
Pieris oleracea,Pieris virginiensis,Laboratory,Y,N,N,N,N,"Chew, FS; Watt, WB.",2006
Pieris oleracea,Pieris marginalis,Laboratory,?,Y,Y,Y,Y,"Chew, FS; Watt, WB.",2006
Platyptilia carduidactyla,Platyptilia williamsii,Field,N,N,N,N,N,"HAYNES, KF; BIRCH, MC.",1986
Plutella xylostella,Plutella australiana,Laboratory,N,Y,Y,Y,N,"Perry, KD; Baker, GJ; Powis, KJ; Kent, JK; Ward, CM; Baxter, SW.",2018
Sesamia cretica,Sesamia nonagrioides,Field,N,?,?,?,?,"Avand-Faghih, A; Frerot, B.",2008
Setothosea asigna,Setora nitens,Field,N,?,?,?,?,"Sasaerila, Y; Gries, G; Gries, R; Boo, TC.",2000
Siederia listerella,Siederia rupicolella,Laboratory,Y,N,N,N,N,"Elzinga, JA; Mappes, J; Kaila, L.",2014
Spodoptera exigua,Spodoptera litura,Field,N,?,?,?,?,"Yan, Q; Liu, XL; Wang, YL; Tang, XQ; Shen, ZJ; Dong, SL; Den, JY.",2019
Spodoptera latitascia,Spodoptera descoinsi,Laboratory,?,Y,Y,Y,Y,"Monti, L; Genermont, J; Malosse, C; LalanneCassou, B.",1997
Spodoptera littoralis,Spodoptera litura,Laboratory,Y,Y,N,N,N,"Saveer, AM; Becher, PG; Birgersson, G; Hansson, BS; Witzgall, P; Bengtsson, M.",2014
Trichoplusia ni,Chrysodeixis includens,Laboratory,N,N,N,N,N,"LANDOLT, PJ; HEATH, RR.",1987
Yponomeuta padella,Yponomeuta cagnagella,Laboratory,?,Y,Y,Y,Y,"Hora, KH; Marec, F; Roessingh, P; Menken, SBJ. ",2019
