Genus	Sp1	Sp2	Distance	hybrid	Condition.hybridization	Authors.hybridization	Year.hybridization	Article	barriers	Authors.barriers	Year.barriers	Condition.barriers	Choice.Mating	Hybrid.Egg	Hybrid.Adult	One.Sex.Fertile.Hybrids	Fertile.Hybrids
Heliconius	Heliconius cydno	Heliconius erato	0.0837240455458808	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Heliconius	Heliconius cydno	Heliconius hecale	0.05421293272371	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Heliconius	Heliconius cydno	Heliconius ismenius	0.0535947712418301	Yes	Laboratory	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera	No	NA	NA	NA	NA	NA	NA	NA	NA
Heliconius	Heliconius cydno	Heliconius melpomene	0.0252631578947368	Yes	Field	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera	Yes	Byers, KJRP; Darragh, K; Garza, SF; Almeida, DA; Warren, IA; Rastas, PMA; Merrill, RM; Schulz, S; McMillan, WO; Jiggins, CD.	2021	Field	Y	Y	Y	Y	N
Heliconius	Heliconius cydno	Heliconius numata	0.056970509383378	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Heliconius	Heliconius cydno	Heliconius sapho	0.103748326639893	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Heliconius	Heliconius cydno	Heliconius sara	0.0844240837696335	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Heliconius	Heliconius cydno	Heliconius telesiphe	0.083994708994709	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Heliconius	Heliconius cydno	Heliconius timareta	0.01546738399462	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Heliconius	Heliconius erato	Heliconius hecale	0.08561872909699	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Heliconius	Heliconius erato	Heliconius ismenius	0.0810991957104558	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Heliconius	Heliconius erato	Heliconius melpomene	0.086376404494382	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Heliconius	Heliconius erato	Heliconius numata	0.0866935483870968	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Heliconius	Heliconius erato	Heliconius sapho	0.0942760942760943	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Heliconius	Heliconius erato	Heliconius sara	0.0831099195710456	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Heliconius	Heliconius erato	Heliconius telesiphe	0.0778001341381623	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
